DATE,CPALTT01USM657N,,https://fred.stlouisfed.org/series/CPALTT01USM657N
8/1/09,0.224285004,,
9/1/09,0.062548069,,
10/1/09,0.096310119,,
11/1/09,0.070775337,,
12/1/09,-0.176119817,,
1/1/10,0.341747357,,
2/1/10,0.024920738,,
3/1/10,0.410628354,,
4/1/10,0.173688491,,
5/1/10,0.077519735,,
6/1/10,-0.097626708,,
7/1/10,0.021104306,,
8/1/10,0.138066428,,
9/1/10,0.058173623,,
10/1/10,0.124519889,,
11/1/10,0.042064642,,
12/1/10,0.171844079,,
1/1/11,0.476323005,,
2/1/11,0.493136503,,
3/1/11,0.975107203,,
4/1/11,0.643942954,,
5/1/11,0.470418753,,
6/1/11,-0.107096706,,
7/1/11,0.088604567,,
8/1/11,0.27575889,,
9/1/11,0.151846212,,
10/1/11,-0.206268263,,
11/1/11,-0.084356133,,
12/1/11,-0.246651638,,
1/1/12,0.440019143,,
2/1/12,0.440297355,,
3/1/12,0.759455862,,
4/1/12,0.30210295,,
5/1/12,-0.117347937,,
6/1/12,-0.146639688,,
7/1/12,-0.162978586,,
8/1/12,0.556515818,,
9/1/12,0.446221227,,
10/1/12,-0.038892514,,
11/1/12,-0.473808669,,
12/1/12,-0.269306449,,
1/1/13,0.295730419,,
2/1/13,0.819002953,,
3/1/13,0.261450858,,
4/1/13,-0.103963948,,
5/1/13,0.178040777,,
6/1/13,0.239970809,,
7/1/13,0.039399753,,
8/1/13,0.120293156,,
9/1/13,0.116300449,,
10/1/13,-0.257528326,,
11/1/13,-0.204242419,,
12/1/13,-0.00858115,,
1/1/14,0.372024767,,
2/1/14,0.369790865,,
3/1/14,0.644004413,,
4/1/14,0.329675445,,
5/1/14,0.349260984,,
6/1/14,0.186212694,,
7/1/14,-0.039019396,,
8/1/14,-0.167051417,,
9/1/14,0.075256882,,
10/1/14,-0.251227781,,
11/1/14,-0.539941794,,
12/1/14,-0.567010091,,
1/1/15,-0.470589237,,
2/1/15,0.434304492,,
3/1/15,0.595172161,,
4/1/15,0.203287325,,
5/1/15,0.509723203,,
6/1/15,0.350287,,
7/1/15,0.006704716,,
8/1/15,-0.141627628,,
9/1/15,-0.155675658,,
10/1/15,-0.044968375,,
11/1/15,-0.211068038,,
12/1/15,-0.341709644,,
1/1/16,0.165310221,,
2/1/16,0.082307653,,
3/1/16,0.430600014,,
4/1/16,0.474106798,,
5/1/16,0.4045791,,
6/1/16,0.328436617,,
7/1/16,-0.16181364,,
8/1/16,0.091843011,,
9/1/16,0.240399586,,
10/1/16,0.124674851,,
11/1/16,-0.155546087,,
12/1/16,0.032732139,,
1/1/17,0.582772789,,
2/1/17,0.314611739,,
3/1/17,0.081279787,,
4/1/17,0.296553337,,
5/1/17,0.085472183,,
6/1/17,0.090711101,,
7/1/17,-0.068992264,,
8/1/17,0.29944523,,
9/1/17,0.529490589,,
10/1/17,-0.06320421,,
11/1/17,0.002432469,,
12/1/17,-0.058783228,,
1/1/18,0.544774545,,
2/1/18,0.453468997,,
3/1/18,0.22611259,,
4/1/18,0.397509156,,
5/1/18,0.415891693,,
6/1/18,0.15938757,,
7/1/18,0.006746326,,
8/1/18,0.055554233,,
9/1/18,0.116202518,,
10/1/18,0.176676346,,
11/1/18,-0.334934852,,
12/1/18,-0.319396282,,
1/1/19,0.190659667,,
2/1/19,0.422705314,,
3/1/19,0.564135836,,
4/1/19,0.529500161,,
5/1/19,0.212875859,,
6/1/19,0.019914718,,
7/1/19,0.167094162,,
8/1/19,-0.005066824,,
9/1/19,0.078344858,,
10/1/19,0.228619055,,
11/1/19,-0.053624303,,
12/1/19,-0.090976953,,
1/1/20,0.387976994,,
2/1/20,0.274061813,,
3/1/20,-0.217645103,,
4/1/20,-0.668694187,,
5/1/20,0.001950162,,
6/1/20,0.547204693,,
7/1/20,0.50582435,,
8/1/20,0.315321052,,
9/1/20,0.139274694,,
10/1/20,0.041493776,,
11/1/20,-0.061062722,,
12/1/20,0.094147847,,
1/1/21,0.425378349,,
2/1/21,0.547438279,,
3/1/21,0.708327313,,
4/1/21,0.821890915,,
5/1/21,0.801710515,,
6/1/21,0.92906629,,
7/1/21,0.481052353,,
8/1/21,0.206591136,,
9/1/21,0.271597086,,
10/1/21,0.830811855,,
11/1/21,0.49134275,,
12/1/21,0.307251716,,
1/1/22,0.841457378,,
2/1/22,0.913397926,,
3/1/22,1.335137955,,
4/1/22,0.558253103,,
5/1/22,1.1023524,,
6/1/22,1.373607576,,
7/1/22,-0.011811914,,
8/1/22,-0.035439928,,
9/1/22,0.215078451,,
10/1/22,0.405649443,,
11/1/22,-0.101002644,,
12/1/22,-0.307009146,,
1/1/23,0.799536383,,
2/1/23,0.558211051,,
3/1/23,0.331072996,,
